schid,c0110,c0112,c0114,c0116,c0120,c0122,c0124,c0126,c0128,c0130,c0132,c0134,c0136,c0138,c0140,c0141,c0142,c0143,c0144,c0146,c0148,c0150,c0152,c0154,c0156,c0158,c0160,c0162,c0164,c0166,c0168,c0169,c0170,c0171,c0172,c0173,c0174,c0176,c0178,c0180,c0182,c0184,c0186,c0188,c0190,c0192,c0194,c0196,c0198,c0200,c0202,c0204,c0206,c0208,c0210,c0212,c0214,c0216,c0218,c0220,c0222,c0224,c0226,c0228,c0230,c0244,c0246,c0248,c0250,c0252,c0254,c0256,c0258,c0260,c0262,c0264,c0266,c0268,c0270,c0272,c0274,c0276,c0280,c0282,c0284,c0286,c0288,c0290,c0292,c0294,c0296,c0298,c0300,c0302,c0304,c0306,c0308,c0374,c0376,c0378,c0380,c0382,c0384,c0386,c0388,c0390,c0392,c0394,c0396,c0398,c0400,c0402,c0404,c0406,c0408,c0410,c0412,c0414,c0416,c0418,c0420,c0422,c0424,c0426,c0428,c0430,c0432,c0434,c0436,c0438,c0440,c0442,c0444,c0446,c0448,c0450,c0452,c0454,c0456,c0508,c0510,c0512,c0514,c0516,c0518,c0520,c0526,c0528,c0532,c0534,c0536,c0538,c0540_r,c0542_r,c0544_r,c0546_r,c0556_r,c0558_r,c0560,c0562,c0568,c0570,c0572,crisis08,distot08,incid08,incpol08,othact08,outsus08,probwk08,removl08,stuoff08,svinc08,svpol08,transf08,vioinc08,viopol08,disfire08,disweap08,disdrug08,disalc08,disatt08,disins08,ganghate,disrupt,fr_catmn,fr_lvel,fr_size,fr_urban
1575,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,2,1,1,1,2,2,3,4,3,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,3,3,1,3,3,2,2,3,1,2,2,2,2,4,3,4,4,5,4,4,5,1,2,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,10,40,50,0,14,2,77,8,60,70,8,8,0,2,0,4,1,4,3,97,148,66,7,109,31,31,50,45,0,0,109,0,0,14,15,15,0,1,3,0,5,100,0,2,3,3,4,1
1576,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,2,2,1,2,2,1,1,1,1,1,1,1,2,2,1,1,2,3,4,3,3,2,2,2,1,1,2,2,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,1,3,2,3,3,3,3,2,3,3,3,2,3,3,2,2,4,1,3,3,4,2,5,5,1,2,1,2,2,-1,2,-1,1,2,1,2,1,2,1,1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,80,0,0,0,80,0,0,0,17,20,70,70,6,4,3,3,0,1,0,3,3,97,31,24,6,90,22,2,90,0,2,0,90,2,0,0,17,2,0,0,0,0,10,80,2,0,1,1,3,4
1577,1,1,1,2,1,1,2,1,2,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,2,2,3,1,1,1,1,1,2,2,1,1,2,1,1,1,1,1,2,1,2,1,2,1,1,1,1,1,1,2,1,1,1,2,2,1,3,3,3,3,3,3,3,2,3,3,2,2,2,2,2,5,4,5,4,5,4,5,5,1,1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,24,0,0,0,24,15,1,0,35,20,60,60,6,15,0,3,0,2,0,2,2,92,27,24,8,92,56,5,43,34,0,15,87,2,2,0,42,2,0,0,20,1,47,24,0,1,4,2,3,1
1578,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,4,4,4,3,1,1,1,1,1,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,2,2,3,3,2,2,2,2,2,5,4,5,4,5,4,5,5,1,2,2,-1,1,2,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,0,0,0,0,0,0,0,2,13,5,40,30,10,3,0,6,0,0,1,3,3,94,100,71,7,2,4,1,2,0,0,0,2,0,0,0,2,0,0,0,0,0,2,0,0,0,2,1,3,3
1579,1,1,1,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,2,2,2,2,1,1,2,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,2,1,1,1,1,2,2,3,3,3,3,1,1,1,1,1,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,3,2,3,3,3,3,3,2,2,3,1,3,3,2,2,5,5,5,5,5,5,5,5,1,2,1,2,2,-1,2,-1,1,2,1,2,1,2,1,2,1,2,2,-1,2,-1,1,1,2,-1,1,2,1,1,1,1,2,-1,0,0,0,0,0,0,0,0,17,5,60,80,6,2,0,7,0,2,1,3,3,96,5,3,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,3
1581,1,1,2,2,2,2,1,2,1,1,2,2,1,1,2,2,2,1,1,1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,2,1,2,2,2,3,2,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,1,2,2,2,1,2,1,3,3,2,3,2,2,2,3,2,3,3,2,2,5,3,4,4,5,4,4,5,2,-1,2,-1,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,100,0,0,0,100,0,18,10,12,20,60,60,6,5,2,0,2,1,1,2,3,95,100,54,6,153,118,75,135,0,0,0,138,0,0,18,70,29,0,10,20,3,20,100,0,0,4,2,3,3
1582,1,1,1,1,1,1,2,1,2,2,2,2,1,1,2,1,2,2,2,1,1,1,2,1,2,1,2,1,2,1,2,1,1,2,2,2,1,1,1,1,1,1,1,2,1,2,1,3,3,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,3,3,3,3,2,3,3,3,3,3,3,3,3,2,2,5,4,4,4,4,4,3,5,2,-1,2,-1,2,-1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,2,-1,2,-1,1,1,1,1,1,1,2,-1,15,0,0,0,15,0,0,4,17,30,50,50,7,15,0,6,0,10,0,2,2,82,226,332,6,94,51,16,45,49,0,0,94,0,0,0,30,0,0,13,4,2,60,15,0,0,4,3,4,1
1583,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,4,3,4,3,2,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,3,2,3,4,5,3,5,5,1,1,1,1,2,-1,1,2,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,25,0,0,0,25,4,0,1,7,5,90,90,6,4,1,2,0,3,0,3,3,95,15,10,8,67,83,25,40,25,1,2,65,0,0,0,25,2,0,0,15,10,17,25,0,0,2,3,4,2
1584,1,1,1,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,3,3,3,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,3,2,3,3,3,2,2,2,2,3,3,3,3,2,2,4,4,4,4,5,4,5,5,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,65,0,0,0,65,0,3,1,23,5,92,99,6,23,5,10,2,11 or more,3,3,3,97,35,28,7,115,80,78,72,40,0,0,115,0,0,3,18,16,0,0,20,20,10,65,0,4,2,3,4,2
1585,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,2,2,1,-1,2,1,1,1,1,1,1,1,1,1,1,2,3,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,3,3,2,2,2,2,2,2,2,2,4,3,4,4,4,3,4,4,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,100,0,0,20,80,2,0,5,11,0,50,80,5,8,2,21,3,6,2,3,3,85,278,288,5,141,91,68,83,56,0,2,141,5,3,0,30,23,0,1,20,5,15,100,1,1,2,3,4,1
1586,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,2,2,1,1,2,1,1,1,1,2,1,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,2,1,1,2,4,4,4,2,1,1,2,1,2,1,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,1,2,1,3,3,3,3,3,3,3,2,3,3,3,3,3,2,2,5,4,5,5,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,2,2,-1,2,-1,1,1,1,1,1,1,0,0,0,0,0,0,0,8,39,6,90,95,4,3,3,7,1,0,0,3,3,97,41,30,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,1,1
1587,1,1,1,2,1,1,2,2,2,2,2,2,2,1,2,1,2,1,2,2,1,1,1,1,2,1,2,2,-1,1,2,1,2,2,-1,2,1,1,1,1,1,1,1,2,1,2,1,1,2,1,1,1,1,1,1,1,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,2,2,2,2,1,3,3,2,3,3,3,3,3,2,2,5,4,4,4,5,4,4,5,2,-1,1,1,1,2,1,1,1,1,1,1,2,-1,1,1,1,1,2,-1,2,-1,2,-1,1,1,1,1,1,1,1,1,2,-1,7,0,0,0,10,0,0,1,12,20,70,95,6,4,0,2,0,2,0,1,1,90,10,4,4,19,9,2,17,2,0,0,16,0,0,0,7,2,0,0,0,0,9,10,0,2,4,2,2,1
1588,1,1,1,2,1,2,2,2,2,2,2,2,1,1,2,1,1,1,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,1,1,2,2,2,2,3,2,1,2,2,2,1,1,1,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2,2,1,1,2,2,2,2,4,2,3,3,3,3,3,5,2,-1,1,2,1,1,2,-1,1,1,1,2,2,-1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,220,0,32,25,200,0,32,2,17,15,50,70,4,7,0,2,0,2,0,1,1,96,60,50,8,366,252,103,307,27,1,0,272,108,78,32,245,97,0,0,1,1,107,257,0,1,4,2,3,1
1590,1,2,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,1,1,2,-1,1,1,1,1,1,1,2,1,2,2,2,2,2,2,2,1,2,2,2,1,1,2,4,4,4,3,1,1,1,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,2,1,3,2,3,3,3,2,1,3,1,2,2,2,2,5,3,3,4,4,4,5,5,1,1,1,2,1,2,1,1,1,2,1,2,2,-1,1,2,1,1,1,1,1,2,1,1,2,-1,1,1,1,1,1,1,1,1,10,1,0,0,4,1,0,0,10,2,50,70,10,3,2,3,2,0,1,3,3,95,20,10,4,5,4,1,4,0,0,1,10,0,0,0,3,0,0,0,0,0,0,5,0,0,2,1,1,2
1592,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,1,1,1,1,1,1,1,2,-1,2,-1,1,2,2,-1,2,1,1,1,1,1,1,1,2,2,1,1,4,4,3,3,2,1,2,2,1,2,2,2,1,1,1,1,1,2,1,2,2,2,2,1,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,2,2,1,1,2,1,1,1,2,1,4,2,4,4,4,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,0,0,0,0,0,0,0,98,10,85,10,5,2,6,0,8,0,4,0,1,1,94,224,393,3,150,150,0,150,0,1,0,180,0,0,0,120,0,0,0,0,0,150,0,0,5,4,1,4,1
1594,1,1,1,2,2,1,2,2,2,2,2,1,2,2,2,2,2,1,1,2,2,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,2,2,1,2,1,2,2,3,1,2,1,1,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,2,1,1,1,1,1,2,1,1,2,1,2,2,1,5,2,-1,2,-1,2,-1,1,2,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,200,0,0,8,100,0,0,0,7,65,80,80,2,2,0,1,0,1,0,1,1,91,125,75,8,258,79,0,250,8,7,0,300,25,0,0,75,0,0,0,0,0,150,108,0,0,4,1,1,1
1596,2,1,1,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,2,1,1,1,1,1,2,-1,1,1,2,1,2,1,2,1,2,1,1,1,2,1,2,2,2,2,4,3,2,1,1,1,2,2,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,1,2,1,2,2,2,3,3,3,3,2,3,2,3,3,3,3,3,3,2,2,4,4,4,5,4,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,0,0,1,0,0,0,1,12,7,98,98,7,16,0,6,2,9,1,3,3,96,21,29,4,13,8,1,3,10,0,0,13,0,0,0,4,0,0,0,4,0,8,1,0,0,2,3,4,2
1598,1,1,1,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,2,2,1,1,1,1,1,1,2,-1,1,1,1,1,2,1,2,1,1,1,1,2,2,2,2,1,2,2,4,4,4,2,1,2,2,2,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,5,5,5,4,5,5,2,-1,1,2,1,2,2,-1,1,2,1,2,1,2,1,2,1,1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,0,0,0,0,0,0,0,15,1,2,90,90,2,1,1,0,0,1,0,3,3,98,15,5,5,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,2,2
1599,1,1,2,2,2,1,2,2,2,2,2,2,2,2,2,2,2,2,2,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,-1,2,1,1,1,1,1,1,1,2,1,2,2,3,2,2,2,1,1,1,1,1,2,2,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,2,1,3,1,2,2,1,3,3,3,2,3,2,3,3,2,2,3,1,4,4,4,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,2,-1,2,-1,2,-1,1,1,1,1,2,-1,90,0,0,0,90,0,0,2,9,20,30,50,3,5,0,5,0,0,1,2,3,94,115,142,5,95,18,0,95,0,1,0,95,0,0,0,15,0,0,0,0,0,5,90,0,1,2,1,2,1
1602,1,1,1,2,1,2,1,1,2,2,2,2,1,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,3,3,3,1,1,2,2,1,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,3,2,3,3,3,3,2,2,3,3,3,3,3,2,2,4,2,4,4,2,2,5,5,1,1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,67,0,0,0,67,1,13,5,13,14,40,85,6,10,0,7,0,2,1,3,3,95,33,38,8,137,53,20,84,48,3,1,134,0,0,4,37,7,1,1,12,0,56,67,0,0,4,2,3,3
1603,1,1,2,2,2,1,2,2,2,2,2,2,1,1,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,4,4,4,4,1,1,1,1,1,2,2,1,1,1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,1,1,2,1,2,1,1,1,1,1,2,1,1,2,1,3,3,3,2,2,4,1,4,3,4,1,1,4,1,1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,10,0,0,1,8,4,3,40,60,25,70,95,6,4,0,5,1,3,0,2,2,93,306,111,8,77,179,178,33,40,3,4,53,10,10,0,75,75,1,3,2,2,60,9,25,1,3,3,4,1
1604,1,1,1,1,1,1,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,2,2,2,5,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,1,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,4,4,4,4,4,5,5,1,2,1,1,1,2,1,1,1,1,1,1,2,-1,2,-1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,100,0,0,0,0,0,0,0,1,30,50,50,6,1,0,1,0,1,0,2,3,80,80,36,8,10,13,6,0,10,0,0,110,0,0,0,12,5,0,0,0,0,10,0,0,0,4,2,1,3
1605,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,1,2,1,2,1,2,1,1,1,2,2,1,1,1,1,1,1,1,1,2,1,2,3,3,1,1,2,2,2,2,2,2,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2,2,1,2,1,2,2,2,2,4,4,4,4,5,4,4,5,1,1,2,-1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,94,0,1,10,70,22,10,80,5,80,1,5,6,5,0,5,0,3,0,1,1,95,25,135,7,85,4,4,70,10,0,0,98,0,0,5,0,0,0,1,3,0,0,81,0,2,4,2,4,1
1607,1,1,2,2,2,2,1,2,2,2,1,2,1,1,2,1,2,2,1,1,1,2,1,1,2,1,1,1,2,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,1,2,3,3,3,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,1,1,1,1,1,2,1,1,1,2,1,1,1,1,1,1,1,3,2,2,3,2,2,2,1,2,3,2,2,2,2,2,2,1,1,4,5,4,5,5,2,-1,1,1,1,2,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,10,0,0,0,10,0,0,1,18,5,20,60,8,6,0,6,0,3,0,3,3,93,21,17,8,16,11,7,10,6,3,0,16,1,1,0,10,6,0,0,0,0,6,10,0,0,1,2,3,2
1608,1,1,1,2,2,1,2,2,2,2,2,2,1,2,2,1,2,2,1,1,2,1,1,2,-1,2,-1,2,-1,1,2,2,2,2,-1,2,1,1,1,1,1,2,1,2,1,2,2,4,4,4,4,2,2,2,2,2,2,1,2,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,2,2,2,1,1,2,2,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,5,4,4,5,5,4,5,5,2,-1,1,2,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,0,0,0,0,0,0,0,2,9,0,50,70,0,6,0,3,0,1,0,4,2,98,51,64,1,1,3,3,1,0,0,0,1,1,1,0,1,1,0,1,0,0,0,0,0,0,3,1,2,3
1610,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,1,2,2,1,2,2,2,1,1,2,1,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,2,2,2,2,1,2,3,3,1,2,2,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,2,1,2,2,1,3,2,3,3,2,3,3,2,3,3,2,3,3,2,2,4,4,5,4,5,3,5,5,2,-1,1,2,1,2,1,2,1,1,1,2,1,1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,22,0,0,0,22,0,0,1,1,18,50,50,4,5,0,6,4,1,2,3,3,95,28,31,5,22,2,0,22,0,0,0,22,0,0,0,1,0,0,0,0,0,0,22,0,0,3,1,2,2
1611,1,2,2,2,2,1,1,2,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,2,-1,1,1,1,2,2,-1,2,1,1,1,1,1,1,1,2,1,1,2,3,4,2,1,1,2,2,1,2,2,2,2,1,1,1,1,2,2,1,2,1,1,1,1,1,1,2,2,2,1,1,1,1,1,1,1,1,3,3,3,3,3,2,2,2,1,2,2,2,2,4,1,4,3,4,1,3,5,2,-1,1,1,1,2,1,2,1,2,1,1,2,-1,1,1,1,1,1,1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,2,28,0,0,0,28,0,0,18,3,15,5,9,7,6,0,5,0,3,0,2,2,89,115,70,4,87,59,18,69,18,2,0,87,0,0,0,54,13,0,2,3,0,54,28,0,1,4,2,4,2
1612,1,1,2,2,2,1,1,2,2,2,2,2,2,1,2,1,2,1,1,2,1,1,1,1,1,1,1,1,2,1,2,2,2,2,-1,2,2,2,1,1,1,2,1,2,1,1,2,2,5,3,2,1,1,1,1,2,1,2,1,1,1,1,1,2,2,1,2,1,1,1,1,1,1,1,1,1,1,1,1,2,1,1,3,3,3,3,2,2,3,3,2,3,2,3,2,2,2,5,3,4,4,5,5,5,5,2,-1,2,-1,1,1,1,2,1,1,2,-1,2,-1,1,1,1,1,1,2,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,163,0,0,26,141,0,11,6,7,10,85,83,8,13,0,11,0,4,2,4,3,96,240,318,4,216,25,16,156,49,0,0,191,0,0,11,9,4,0,0,13,4,32,167,0,2,3,3,4,1
1614,1,1,2,2,2,1,2,2,2,2,2,2,2,1,2,1,2,2,1,2,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,1,1,1,1,1,2,1,2,2,2,2,3,4,3,2,1,2,2,1,2,2,2,2,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,1,2,1,3,2,3,3,2,3,2,2,2,3,2,2,2,2,2,4,2,4,4,5,4,4,5,1,2,1,2,1,2,2,-1,1,1,1,2,1,2,1,1,1,1,1,1,1,1,1,2,2,-1,1,1,1,1,1,1,1,2,50,0,0,0,50,0,0,9,8,10,75,75,8,2,0,1,0,1,0,3,3,95,23,8,7,100,53,11,99,1,1,0,100,3,0,0,33,1,0,0,0,0,50,50,0,0,3,1,2,2
1616,1,1,2,2,2,2,2,2,2,2,2,2,2,1,2,2,2,2,1,2,1,2,1,1,1,1,1,1,1,1,1,1,1,2,1,2,1,1,1,1,2,2,1,2,2,2,2,4,4,3,1,2,1,1,1,1,2,2,2,1,1,1,1,1,2,1,2,1,1,2,1,2,2,2,2,2,1,1,1,1,1,1,3,1,2,3,2,3,3,2,3,3,1,3,3,2,2,4,2,4,4,4,2,5,5,1,2,1,2,1,2,1,1,1,2,1,2,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,2,1,1,1,1,1,2,69,0,0,0,69,0,0,0,16,10,40,40,4,8,0,9,9,1,1,2,2,96,20,25,6,141,168,19,141,0,2,0,141,10,5,0,135,15,0,0,0,0,72,69,0,1,3,1,2,3
1617,1,1,2,2,2,1,1,1,2,2,2,2,1,1,2,2,2,2,2,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,2,1,1,1,2,1,3,4,1,1,1,1,1,2,1,1,1,2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,1,1,1,2,2,1,3,2,3,3,1,3,2,1,3,3,2,3,2,2,2,5,4,4,5,5,4,5,5,2,-1,1,1,2,-1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,1,2,1,1,1,1,1,1,1,1,2,-1,0,0,0,0,0,0,0,0,21,10,30,15,6,2,0,1,0,2,0,3,3,85,10,5,7,5,8,2,4,1,0,0,9,0,0,0,4,0,0,1,0,0,4,0,0,0,3,4,2,4
1618,1,1,1,2,2,1,2,2,2,2,2,1,1,2,2,2,2,2,1,2,1,2,2,1,2,1,1,2,-1,1,1,1,1,1,2,1,1,1,1,1,1,1,1,1,1,1,2,4,4,4,2,1,1,2,1,1,1,1,2,1,2,2,2,1,2,2,2,2,2,2,2,2,2,1,2,2,1,1,1,1,1,1,3,3,3,3,3,3,3,3,3,3,3,3,3,2,2,4,4,4,5,5,4,5,5,2,-1,2,-1,2,-1,2,-1,2,-1,1,1,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,2,-1,2,-1,1,1,2,-1,0,0,0,0,0,0,0,25,16,20,75,85,6,5,0,5,0,2,0,4,3,97,64,48,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,3,2
1620,1,1,1,2,2,1,1,1,1,2,2,2,2,1,2,2,1,2,1,1,2,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,3,2,2,1,2,1,1,1,1,2,2,1,1,1,1,1,2,1,2,2,2,1,1,1,1,2,1,2,1,2,1,2,1,1,2,3,3,3,3,3,2,2,2,3,3,3,3,2,2,4,4,4,2,5,2,4,5,2,-1,1,1,1,1,2,-1,2,-1,1,1,2,-1,1,1,1,1,1,1,1,1,1,1,2,-1,1,1,1,1,1,1,1,1,100,0,0,0,100,0,11,3,16,11,89,89,8,16,1,3,0,11 or more,5,4,3,92,89,167,8,260,269,14,100,149,2,0,260,0,0,11,203,4,0,3,8,2,147,100,0,1,4,3,4,2
